skills,project_type
"Docker,Python,PyTorch,TensorFlow,Jenkins,R",Data Science
"Node.js,React,Angular,REST,JavaScript,TypeScript,Git",FullStack
"CI/CD,Linux,Kubernetes,AWS,Jenkins",DevOps
"Python,CI/CD,Testing,Jest,Postman",QA
"Java,Hibernate,Node.js,REST",Backend
"JavaScript,Git,React",FullStack
"Git,Node.js,React",FullStack
"Testing,Selenium",QA
"Docker,CI/CD,Kubernetes,AWS,Jenkins",DevOps
"SQL,PyTorch",Data Science
"Node.js,Terraform,CI/CD,Flutter,Kubernetes",DevOps
"JUnit,Selenium,Testing,Jest,Postman",QA
"Docker,Terraform",DevOps
"Swift,iOS,Kotlin,React Native",Mobile
"ML,Python,PyTorch,Pandas",Data Science
"Java,JUnit,JavaScript,Testing,Jest,Cypress,Postman",QA
"Python,Angular,SQL,NumPy,TensorFlow,Pandas",Data Science
"Docker,AWS,Terraform",DevOps
"TypeScript,Angular",Frontend
"Python,JUnit,Testing,TypeScript,Jest",QA
"Postman,Jest",QA
"Swift,Android,Flutter",Mobile
"Terraform,Linux,Kubernetes,AWS,Git",DevOps
"Python,Node.js,React,SQL,TypeScript,Git",FullStack
"Kubernetes,CI/CD,Linux,Git",DevOps
"Node.js,React Native,React,SQL,Selenium,Git",FullStack
"CSS,JavaScript,HTML",Frontend
"SQL,Pandas,TensorFlow",Data Science
"SQL,R",Data Science
"Swift,React Native,Android,iOS,Kotlin",Mobile
"Java,Python,Node.js,SQL,Spring",Backend
"ML,JUnit,Selenium,Jest,Git",QA
"JavaScript,TypeScript",Frontend
"Swift,Flutter,Kotlin",Mobile
"Testing,Postman,Selenium,Jest",QA
"Cypress,Testing,JUnit,Jest",QA
"Swift,React Native,Android,iOS,Kotlin",Mobile
"SQL,Jenkins,Angular,Vue",Frontend
"REST,React,SQL,.NET,Hibernate,Spring,Git",Backend
"Docker,Kubernetes,AWS",DevOps
"JUnit,Android,PyTorch,Testing,Cypress,Postman",QA
"CSS,TypeScript,Angular",Frontend
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"SQL,NumPy,R",Data Science
"SQL,JavaScript,TypeScript,Node.js",FullStack
"ML,SQL,PyTorch,TensorFlow,R",Data Science
"Swift,iOS,Flutter,Kotlin",Mobile
"Angular,React,SQL,JavaScript,iOS",FullStack
"Android,Kotlin",Mobile
"JavaScript,Git,Node.js",FullStack
"Python,Node.js,Selenium,Testing,Jest,Cypress,Postman",QA
".NET,Python",Backend
"Swift,Flutter,React Native",Mobile
"Docker,Terraform,CI/CD,Linux,Git",DevOps
"Swift,Kotlin",Mobile
"Cypress,JUnit",QA
"Cypress,Testing,JUnit,Selenium",QA
"Postman,Selenium",QA
"Java,Angular,Vue,SQL,JavaScript,CSS,Sass",Frontend
"Testing,Cypress,Jest",QA
"Kubernetes,CSS,Linux,R",DevOps
"Kubernetes,AWS,Terraform",DevOps
"ML,SQL,NumPy,C#,R",Data Science
"Linux,Git",DevOps
"SQL,Python,Node.js",Backend
"React,Terraform,JavaScript,PyTorch,Git",FullStack
"Kubernetes,Jenkins,Linux,Git",DevOps
"ML,Python,Pandas,TensorFlow",Data Science
"Swift,Angular,Vue,JavaScript,Flutter,CSS,TypeScript",Frontend
"SQL,NumPy,Python,ML",Data Science
"Python,Node.js,Angular,C#,Hibernate,CSS",Backend
"Cypress,Jest",QA
"Swift,Android,React Native",Mobile
"Swift,ML,React Native,SQL,Android,iOS,Kotlin",Mobile
"Angular,React,Vue,CSS,HTML",Frontend
"Cypress,Postman,Selenium",QA
"Flutter,Kotlin,React Native",Mobile
"JUnit,Selenium,Testing,Jest,Cypress",QA
"Sass,HTML,TypeScript,React",Frontend
"SQL,JavaScript,Node.js,React",FullStack
"Flutter,Kotlin,React Native",Mobile
"Cypress,JUnit",QA
"Java,Vue,JavaScript,CSS,TypeScript,HTML",Frontend
"Angular,React,Vue,CSS,Sass",Frontend
"JavaScript,CSS,Sass,Jest,R",Frontend
"CI/CD,Terraform,Kubernetes,Git",DevOps
"Android,Flutter,Kotlin",Mobile
"CSS,JavaScript,Vue",Frontend
"Docker,React Native,Android,JavaScript,iOS",Mobile
"CI/CD,CSS,Kotlin,React Native",Mobile
"Swift,Vue,Android,Flutter,Testing,iOS,Kotlin",Mobile
"SQL,TypeScript,Node.js,React",FullStack
"Angular,React,JavaScript,Sass,TypeScript",Frontend
"Swift,Python,Git,Android,Flutter,iOS,Kotlin",Mobile
"Testing,Postman",QA
"Flutter,Kotlin",Mobile
"ML,Jenkins,Kotlin,Pandas",Data Science
"ML,Pandas",Data Science
"Testing,JUnit,Postman",QA
"Hibernate,Spring",Backend
"CI/CD,Git,AWS",DevOps
"CI/CD,Jenkins,Linux,Terraform",DevOps
"Swift,iOS,Flutter,Kotlin",Mobile
"Swift,React Native,Flutter,iOS,Kotlin",Mobile
"JUnit,Selenium,Testing,Jest,Postman",QA
"Node.js,React Native,JavaScript,Testing,TypeScript",FullStack
"Java,TypeScript,Node.js",FullStack
"Cypress,Postman,Jest",QA
"SQL,Python,R",Data Science
"Docker,Linux,Kubernetes,Jenkins,Git",DevOps
"CI/CD,Terraform",DevOps
"Testing,JUnit,Selenium,Jest",QA
"Java,Terraform,SQL,C#,iOS,Spring",Backend
"Node.js,React,SQL,JavaScript,.NET,TypeScript",FullStack
"Swift,Python,React Native,JavaScript,iOS,Kotlin",Mobile
"Android,Flutter,Kotlin",Mobile
"Kubernetes,Linux",DevOps
"Node.js,JavaScript,C#,.NET,Hibernate,Testing",Backend
"JUnit,Cypress,Spring,Postman,Git",QA
"Spring,Hibernate,Node.js,REST",Backend
"CSS,JavaScript,TypeScript,Vue",Frontend
"Testing,JUnit,Selenium,Jest",QA
"Testing,Postman,Selenium,Cypress",QA
"JavaScript,TypeScript,Angular,Vue",Frontend
"HTML,Vue,TypeScript",Frontend
"JavaScript,Angular,React",Frontend
"Java,Python,REST,C#,Hibernate",Backend
"Jenkins,Kubernetes,AWS,Linux",DevOps
"Testing,Postman,Cypress",QA
"Swift,React Native",Mobile
"JavaScript,Git,Node.js",FullStack
"REST,C#",Backend
"SQL,ML,NumPy,TensorFlow",Data Science
"Kubernetes,CI/CD,Jenkins,Git",DevOps
"Git,Node.js,React,TypeScript",FullStack
"Angular,React Native,Vue,SQL,JavaScript",Frontend
"Selenium,Testing,Jest,Cypress,Postman",QA
"CI/CD,Git,Terraform",DevOps
"Android,Flutter",Mobile
".NET,SQL,REST",Backend
"Jenkins,Linux,AWS,Terraform",DevOps
"Testing,JUnit,Postman,Cypress",QA
"ML,SQL,TypeScript,Git,R",FullStack
"Python,SQL,NumPy,PyTorch,TensorFlow",Data Science
"Sass,JavaScript,HTML",Frontend
"Jenkins,Kubernetes",DevOps
"SQL,NumPy,R,TensorFlow",Data Science
"SQL,NumPy,PyTorch,Pandas,R",Data Science
"JavaScript,Vue",Frontend
"ML,PyTorch",Data Science
"SQL,Java",Backend
"Kubernetes,AWS",DevOps
"Python,Node.js,C#,.NET,Spring",Backend
"React,TypeScript,Vue",Frontend
"Cypress,JUnit,Postman,Jest",QA
"SQL,Git,Node.js",FullStack
"Node.js,React,SQL,TypeScript,Git",FullStack
"JUnit,Postman",QA
"SQL,Python,Pandas",Data Science
"JUnit,Postman,Jest",QA
"Node.js,React,SQL,JavaScript,TypeScript",FullStack
"Cypress,JUnit",QA
"Swift,React Native,Flutter,JavaScript,Sass,iOS,Kotlin",Mobile
"Python,Node.js,React Native,SQL,C#,.NET",Backend
"Selenium,Jest",QA
"Node.js,React,SQL,TypeScript,Git",FullStack
"Java,Hibernate,Kubernetes,AWS,Spring",Backend
"Angular,React,JavaScript,Sass,TypeScript",Frontend
"SQL,PyTorch,TensorFlow,Pandas,R",Data Science
"Java,Python,SQL,CSS,Spring",Backend
"Java,Terraform,SQL,CI/CD,AWS",DevOps
"Python,Selenium,HTML,Jest,Postman",QA
"CI/CD,Jenkins",DevOps
"Python,React,SQL,TensorFlow,Pandas,R",Data Science
"Python,SQL,.NET,Sass,Spring,R",Backend
"Angular,Vue,React,JavaScript,TypeScript",Frontend
"CSS,Kotlin,React,Selenium",Frontend
"Sass,HTML,TypeScript,Angular",Frontend
"Swift,Android,Kotlin,iOS",Mobile
"TypeScript,Node.js",FullStack
"Android,iOS,Flutter,React Native",Mobile
"ML,Node.js,React Native,React,JavaScript",FullStack
"Swift,React Native,Flutter,iOS,Kotlin",Mobile
"Kubernetes,Docker,Linux,AWS",DevOps
"Postman,JUnit,NumPy,Testing,Cypress,Jenkins",QA
"React,SQL,JavaScript,PyTorch,TypeScript",FullStack
"SQL,Android,HTML,Git",FullStack
"Node.js,React,SQL,TypeScript,Git",FullStack
"Hibernate,Spring",Backend
"Sass,Angular,React",Frontend
"SQL,REST",Backend
"Java,React,SQL,JavaScript,CSS,TypeScript",FullStack
"Node.js,React,JavaScript,C#,Testing,TypeScript,Git",FullStack
"ML,Pandas",Data Science
"JavaScript,Angular",Frontend
"CI/CD,Linux,Git",DevOps
"Node.js,SQL,Flutter,Selenium,Git",FullStack
"ML,Python,PyTorch,Pandas,R",Data Science
"Node.js,React Native,SQL,PyTorch,Git",FullStack
"CI/CD,NumPy,Selenium,PyTorch,Pandas,R",Data Science
"Terraform,NumPy,Sass,CSS,TypeScript",Frontend
"Docker,Terraform,AWS,Jenkins,Git",DevOps
"React Native,Android,PyTorch,CSS,Kotlin",Mobile
"Java,Hibernate,Python,REST",Backend
"CSS,Sass,Vue",Frontend
"ML,SQL,CI/CD,PyTorch,.NET,Pandas",Data Science
"JUnit,Selenium,Testing,Jest,Postman",QA
"JUnit,Selenium,Testing,Jest,Postman",QA
"Cypress,NumPy,Selenium,TypeScript",QA
"Java,Hibernate,Python,.NET",Backend
"Python,Android,Flutter,TensorFlow,R",Data Science
"Postman,Selenium",QA
"Docker,Jenkins,AWS",DevOps
"SQL,Node.js",FullStack
"Terraform,CI/CD,Kubernetes,AWS,Git",DevOps
"SQL,Git,TypeScript",FullStack
"Python,SQL,NumPy,Pandas,R",Data Science
"Kubernetes,Jenkins,Git,AWS",DevOps
".NET,Python,Node.js,C#",Backend
"CI/CD,Kubernetes",DevOps
"JavaScript,Angular",Frontend
"Android,Kotlin,React Native",Mobile
"SQL,Hibernate,Python,Java",Backend
"Swift,iOS,React Native",Mobile
"Android,Flutter,Kotlin",Mobile
"TypeScript,React",FullStack
"Sass,JavaScript,HTML,React",Frontend
"JavaScript,Git,Node.js,React",FullStack
"Node.js,React,JavaScript,TypeScript,iOS,Git",FullStack
"Sass,JavaScript,CSS",Frontend
"JavaScript,HTML,Angular,TypeScript",Frontend
"SQL,Git,React,TypeScript",FullStack
".NET,Java,Python,REST",Backend
"ML,Python,PyTorch,TensorFlow,R",Data Science
"Swift,Flutter,React Native",Mobile
"CSS,TypeScript,Vue",Frontend
"React Native,JavaScript,Hibernate,CSS,TypeScript",Frontend
"Cypress,Selenium,Jest",QA
"React,iOS,Spring,React Native",Mobile
"Python,JUnit,Selenium,TypeScript,Jest,Postman",QA
"Sass,TypeScript,Angular",Frontend
"Swift,iOS,Kotlin,React Native",Mobile
"JavaScript,React",FullStack
"Jenkins,Git,Terraform",DevOps
"JUnit,Selenium,Testing,Jest,Postman",QA
"CI/CD,Linux",DevOps
"CI/CD,JavaScript,Testing,TypeScript,Git",FullStack
"CI/CD,NumPy,Selenium,Kubernetes,Jenkins,Git",DevOps
"SQL,JavaScript,Node.js,React",FullStack
"CI/CD,Linux",DevOps
"SQL,Node.js",FullStack
"TypeScript,React",FullStack
"ML,NumPy,PyTorch,TensorFlow",Data Science
"Java,SQL,PyTorch,Hibernate,Sass",Backend
"JUnit,Postman,Jest",QA
"Vue,React,Sass,CSS,HTML",Frontend
"SQL,JavaScript,Git",FullStack
"JUnit,CI/CD,Linux,TypeScript,Kubernetes,Git",DevOps
"Angular,Vue,React,JavaScript,TypeScript",Frontend
"Vue,HTML,React",Frontend
"JUnit,Selenium,Testing,Jest,Postman",QA
"Testing,Postman,Selenium,Cypress",QA
"Node.js,SQL,C#,.NET,Hibernate",Backend
"Python,JUnit,Docker,Kubernetes",DevOps
"SQL,JavaScript,TypeScript",FullStack
"Pandas,TensorFlow",Data Science
"Swift,Android,Flutter,React Native",Mobile
"CSS,Sass,JavaScript",Frontend
"Swift,Node.js,React Native,Flutter,TensorFlow",Mobile
"Python,NumPy,PyTorch,.NET,Kubernetes,Pandas",Data Science
"Kubernetes,AWS,Git",DevOps
"CI/CD,Docker,Linux",DevOps
"SQL,ML,Node.js,AWS",FullStack
"Swift,Android,Kotlin,React Native",Mobile
"Java,Terraform,Linux,Kubernetes,HTML,Jenkins,Git",DevOps
"SQL,Spring,Postman,R",Backend
"Docker,Terraform,Linux,Kubernetes,AWS",DevOps
"Vue,CSS,TypeScript,React",Frontend
"Android,Kotlin,React Native,iOS",Mobile
"iOS,Kotlin",Mobile
"ML,Python,NumPy,PyTorch,Pandas",Data Science
"Docker,Terraform,CI/CD,TensorFlow,Jenkins,Git",DevOps
"SQL,JavaScript,Git,Node.js",FullStack
"ML,Python,NumPy,TensorFlow",Data Science
"Linux,Kubernetes,Terraform",DevOps
"Testing,JUnit,Selenium,Jest",QA
"CI/CD,Git,AWS",DevOps
"ML,Python,Node.js,Flutter,TensorFlow",Data Science
"Swift,Flutter",Mobile
"ML,Python,React,SQL,TensorFlow,Hibernate,Pandas",Data Science
"SQL,Sass,HTML,React",Frontend
"Java,Python,Node.js,C#,TypeScript,Spring",Backend
"JUnit,PyTorch,Testing,HTML,Cypress,Postman",QA
"CSS,Sass,HTML,Vue",Frontend
"NumPy,Python,TensorFlow",Data Science
"Swift,iOS",Mobile
"SQL,NumPy,R,TensorFlow",Data Science
"SQL,Java,Spring,Node.js",Backend
"JavaScript,Node.js",FullStack
"Terraform,CI/CD,Linux,AWS,Git",DevOps
"SQL,PyTorch,R,Pandas",Data Science
"JUnit,Selenium,Testing,Jest,Cypress",QA
"ML,Vue,Android,NumPy,TensorFlow,Pandas,R",Data Science
"SQL,JavaScript,Node.js,React",FullStack
"SQL,Hibernate,Spring,REST",Backend
"ML,SQL,CI/CD,PyTorch,R",Data Science
"SQL,React",FullStack
"Swift,React Native,Android,NumPy,.NET,iOS,Kotlin",Mobile
"NumPy,PyTorch,Pandas",Data Science
"Pandas,R,TensorFlow",Data Science
"Node.js,Vue,SQL,JavaScript,TensorFlow,TypeScript,Git",FullStack
"NumPy,Kubernetes,PyTorch,Git",DevOps
"Testing,Jenkins,Kubernetes,Postman",DevOps
"Selenium,Jest",QA
"ML,SQL,NumPy,TensorFlow,Pandas",Data Science
"SQL,JavaScript,Node.js,React",FullStack
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"Android,Flutter,Kotlin,React Native",Mobile
"Swift,React Native,Flutter,iOS,Kotlin",Mobile
"Sass,TypeScript,Angular",Frontend
"JUnit,Postman,Selenium,Jest",QA
"Java,Flutter,Python,TypeScript",Backend
"Swift,JavaScript,Selenium,Vue",Frontend
"CI/CD,Jenkins,Linux",DevOps
"Docker,Terraform,CI/CD,Kubernetes,Git",DevOps
"Cypress,JUnit,Jest",QA
"Android,Flutter,Kotlin,React Native",Mobile
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"SQL,C#",Backend
"SQL,Testing,Git,TensorFlow",FullStack
"Java,Hibernate,REST,C#",Backend
"Jenkins,Git,AWS,Terraform",DevOps
"SQL,JavaScript,Git,React",FullStack
"Swift,React Native,Android,Testing,Spring",Mobile
"ML,Python,SQL,NumPy,TensorFlow",Data Science
"Swift,Android,Kotlin,React Native",Mobile
"Sass,Angular,Vue",Frontend
"JavaScript,TypeScript,Node.js",FullStack
"Python,REST,SQL,Android,NumPy",Backend
"Node.js,React,SQL,TypeScript,Git",FullStack
"ML,Python",Data Science
"Kubernetes,Jenkins,Git,Linux",DevOps
"Node.js,React,SQL,TypeScript,Git",FullStack
"JUnit,JavaScript,Selenium,Testing,AWS,Jest,Postman",QA
"SQL,JavaScript,Git,React",FullStack
"Swift,React Native,Flutter,iOS,Kotlin",Mobile
"Sass,JavaScript,TypeScript,React",Frontend
"SQL,Node.js",Backend
"SQL,Python,PyTorch,Pandas",Data Science
"Swift,Android,Kotlin",Mobile
"Swift,Vue,Flutter,Jest,iOS",Mobile
"Docker,Python,React Native,NumPy,PyTorch,R",Data Science
"React,SQL,NumPy,JavaScript,TypeScript",FullStack
".NET,Java,Python,C#",Backend
"Angular,React,Vue,JavaScript,HTML",Frontend
"CI/CD,Kubernetes,Git",DevOps
".NET,Spring,TypeScript,Angular",Backend
"JavaScript,React",Frontend
"React,JavaScript,CSS,Sass,TypeScript,Kotlin",Frontend
"Docker,SQL,CI/CD,Linux,Kubernetes,Jenkins,Kotlin",DevOps
"Android,Flutter,Kotlin,React Native",Mobile
"SQL,Node.js,React",FullStack
"Node.js,JUnit,Selenium,Testing,HTML,Jest,Cypress",QA
"ML,PyTorch,TensorFlow,Pandas,R",Data Science
"React,SQL,JavaScript,TypeScript,Git",FullStack
"Android,JUnit,Flutter,TensorFlow,Kotlin",Mobile
"Docker,Python,Terraform,Android,AWS,Jenkins,Git",DevOps
"SQL,Hibernate,ML,Node.js",Backend
"JavaScript,Git,TypeScript",FullStack
"Java,Node.js,REST,C#,Spring",Backend
"JavaScript,React",FullStack
"Angular,React",Frontend
"Testing,Postman,Selenium",QA
"Swift,Vue,JUnit,Selenium,Testing,Cypress,Postman",QA
"ML,TensorFlow",Data Science
"Kubernetes,Git,Linux",DevOps
"Android,iOS,Testing,Selenium",Mobile
"CI/CD,Docker,Jenkins",DevOps
"CSS,HTML",Frontend
"Selenium,Testing,Jest,Cypress,Postman",QA
"Linux,AWS,Git",DevOps
"Angular,Vue,JavaScript,TypeScript,HTML",Frontend
"CSS,Angular,React",Frontend
"JUnit,Postman,Selenium",QA
"SQL,Hibernate,Spring",Backend
".NET,Node.js",Backend
"Python,Angular,Vue,NumPy,Pandas,R",Data Science
"Cypress,Postman",QA
"Angular,Vue,CI/CD,JavaScript,Sass,HTML,R",Frontend
"REST,SQL,JavaScript,C#,CSS",Backend
"Swift,Android,Flutter,iOS,Kotlin",Mobile
"ML,NumPy,R",Data Science
"ML,Python,R",Data Science
"Spring,Python,REST,C#",Backend
"Angular,Vue,JUnit,CSS,HTML,Postman",Frontend
"CSS,HTML,Angular",Frontend
"Angular,React,Vue,Sass,HTML",Frontend
"Docker,Linux,AWS",DevOps
"SQL,Java",Backend
"Docker,Terraform,CI/CD,Kubernetes,Jenkins",DevOps
"Python,REST,SQL,C#,Spring",Backend
"SQL,.NET",Backend
"Android,CI/CD,Jenkins,Vue",DevOps
"Testing,JUnit,Postman,Jest",QA
"React,SQL,JavaScript,Testing,TypeScript,Jest",FullStack
"React Native,Android,C#,Jenkins,Kotlin",Mobile
"JavaScript,Git,Node.js,TypeScript",FullStack
"Python,Node.js,.NET,Hibernate,Git,R",Backend
